,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,인테리어,재질,사이즈,설치,색상,매트리스포함,침대 프레임
211,248,184562,"HASA 저상형 원목침대 매트리스깔판 슈퍼싱글 퀸 원목 침대프레임, 네추럴",72000,2029098583,False,40,4.0,28.0,False,,0,28.0,모던/심플,원목,NULL,NULL,NULL,NULL,NULL
212,249,184562,"욜로온 소나무 평상형 원목침대 슈퍼싱글 퀸 침대프레임, 무도색",142000,5010971612,False,11,5.0,14.0,False,,착불배송,14.0,모던/심플,원목,NULL,NULL,NULL,NULL,NULL
213,250,184562,"지누스 스마트베이스 디럭스 침대 프레임 싱글, 블랙",97000,5232886821,True,0,,,False,지누스,0,,NULL,철제,싱글(100 x 203 x 35 cm),NULL,블랙,NULL,NULL
214,251,184562,"하포스침대 매트리스포함 서랍형침대, LED하모니(화이트)",229000,255068544,False,18,4.0,212.0,False,,착불배송,179.0,NULL,합성목재,NULL,NULL,NULL,매트리스포함,수납형
215,253,184562,"뷰티 기본 마사지침대 마사지베드 미용베드 안마침대 경락 한의원 반영구 속눈썹 타투 왁싱, 블랙",128000,234208101,False,0,5.0,35.0,False,,"35,000",22.0,NULL,상세페이지참고,NULL,NULL,NULL,NULL,NULL
216,254,184562,"헤드리스(무헤드) 3칸서랍 수납침대 슈퍼싱글/퀸 (매트리스 별도), 슈퍼싱글｜그레이투톤, 1. 매트없음",95000,2311444856,False,47,5.0,3.0,False,,착불배송,3.0,모던/심플,NULL,NULL,NULL,NULL,별도구매,NULL
217,256,184562,"동서가구 M71 미송 편백나무 맥반석 돌소파 DF634378, 브라운",859000,9095997,False,46,4.5,27.0,False,동서가구,0,22.0,NULL,PU,NULL,NULL,브라운,NULL,오픈형
218,257,184562,"수오 로망스 패브릭 5단 각도조절 소파베드, 그레이",93000,158054825,True,0,4.0,78.0,False,수오,0,35.0,NULL,패브릭,W960XD2040,NULL,NULL,NULL,NULL
219,258,184562,"동서가구 피콜로 빅서랍 가드형 데이베드 침대_세미싱글 로우독립매트포함, 워시",175000,41068685,False,39,4.0,150.0,False,동서가구,착불배송,83.0,NULL,NULL,세미싱글,NULL,화이트,매트리스포함,NULL
220,259,184562,"동서가구 메이 무헤드 원목 수납 형 슈퍼싱글 침대프레임 B1315, 내추럴",143900,1679751826,False,0,5.0,4.0,False,동서가구,착불배송,5.0,NULL,합성목재,NULL,NULL,NULL,별도구매,수납형
221,260,184562,"보루네오 LED 원목침대 매트리스 세트 방문설치, 네추럴",437000,1914536182,True,5,4.5,48.0,False,보루네오,0,48.0,NULL,NULL,NULL,방문설치,NULL,매트리스포함,오픈형
222,261,184562,"블루밍홈 PU인조가죽 윈디쇼파베드, 블랙",99900,198181555,True,2,4.5,82.0,False,블루밍홈,0,36.0,모던/심플,NULL,NULL,NULL,NULL,NULL,NULL
223,262,184562,"에보니아 파인 스프러스원목 평상형 침대 프레임 + 원추다리, 내추럴",126730,215119177,True,3,3.0,115.0,False,에보니아,0,26.0,내추럴,NULL,슈퍼싱글,NULL,NULL,별도구매,NULL
224,263,184562,"이투스 침대깔판 매트리스깔판 침대 매트리스 받침대 깔판, 05_S(싱글) 판2장+미니발통12개",25900,5064351084,False,0,4.5,8.0,False,,"8,000",8.0,NULL,NULL,싱글,NULL,NULL,NULL,NULL
225,264,184562,"수오 로즈망 방수가죽 2인용 접이식 소파베드, 그레이",129000,115130927,False,7,4.0,83.0,False,수오,"50,000",27.0,NULL,방수가죽,W1230X840X670,NULL,NULL,NULL,NULL
226,267,184562,"토토로 귀여운 캐릭터침대 슈퍼싱글침대 침낭 대형인형 바닥침대 다다미여운 캐릭터침대 슈퍼싱글침대 침낭 대형인형 바닥침대 다다미, 이빨형",32000,245874278,False,0,4.0,68.0,False,,0,27.0,키즈/캐릭터,기타,NULL,NULL,화이트,NULL,NULL
227,269,184562,지누스 스마트베이스 엘리트 침대 프레임 퀸,139400,188230878,False,0,5.0,4.0,False,지누스,0,4.0,NULL,NULL,퀸,NULL,NULL,NULL,NULL
228,271,184562,"보루네오하우스 프라임 올슨 LED 서랍 SS 침대 CL텍스독립매트 DM6219, 그레이",389000,1566993131,False,35,4.5,21.0,False,보루네오하우스,0,21.0,NULL,합성목재,NULL,NULL,그레이,NULL,NULL
229,272,184562,"젠티스 테리우스 LED 침대(매트리스 포함)통판형 서랍형 수납형 슈퍼싱글침대 퀸침대, B. 테리우스 3단 서랍형(그레이)",294000,2010087477,False,51,4.5,22.0,False,젠티스,착불배송,22.0,NULL,합성목재,NULL,NULL,그레이,NULL,수납형
230,273,184562,"나가다 4단 접이식 매트리스 퀸사이즈 소파베드(제주)+당일출고, 퀸Q-ONLY 차콜",186200,5034550021,False,37,5.0,14.0,False,나가다,0,14.0,NULL,스펀지,140x200,NULL,그레이,NULL,NULL
231,275,184562,"세진침대 디에로 LED저상형침대+솔리드본넬매트리스Q, 초코브라운",359000,200268725,False,0,4.0,21.0,False,세진침대,착불배송,20.0,NULL,인조가죽,NULL,NULL,NULL,매트리스포함,수납형
232,276,184562,"모젤리가구 스몰싱글(로우헤드)-수납침대-프레임, 아카시아 화이트워시",109000,185844201,False,0,4.0,25.0,False,,착불배송,24.0,NULL,NULL,NULL,NULL,NULL,별도구매,NULL
