,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,바퀴,단
276,333,184614,"아이리스 우드 3단 컬러 수납장 ACX-3, 블루",16900,2211350374,True,4,4.0,20.0,False,아이리스,0,20.0,NULL,NULL,NULL,NULL,NULL,NULL
277,334,184614,"[두닷모노] 지니 틈새장 4단, 라이트그레이",18000,164229635,False,43,4.5,2.0,False,두닷모노,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
278,335,184614,이케아 브로그룬드 거울 스테인리스 303.285.29,21400,103519066,False,0,5.0,2.0,False,이케아,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
279,336,184614,"북유럽 라탄수납장 틈새수납장 원목서랍장 다용도, 기본",46080,4932380226,False,0,,,False,,"99,000",,NULL,NULL,NULL,NULL,NULL,NULL
280,337,184614,"주방수납장 틈새보관함 식탁정리함 그릇장, 상세페이지 참조",39230,4829874554,False,9,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
281,338,184614,"원목 나무 주방 팬트리장 홈카페 수납장 그릇장식장, 3단, A",112000,5263476461,False,37,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
282,339,184614,"[데코라인] 편의점그거 재활용분리수거함 1칸, 색상:화이트",66240,5162948017,False,33,,,False,데코라인,0,,NULL,NULL,NULL,NULL,NULL,NULL
283,340,184614,"서랍 부직포 의류 양말 속옷 오거나이저 정리함 공간활용가구 다용도수납장, 12칸",3200,5486838669,False,0,,,False,,"2,500",,NULL,NULL,NULL,NULL,NULL,NULL
284,341,184614,"SS1808 즐거운가구 공간활용 광폭 틈새장 300, 화이트",66170,237360159,False,0,4.0,1.0,False,,착불배송,,NULL,NULL,NULL,NULL,NULL,NULL
285,343,184614,"이케아 DYNAN 뒤난 도어수납장 화이트40x27x54 cm 협탁, 화이트",58500,1817195727,False,0,5.0,1.0,False,이케아,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
286,344,184614,"각시방가구 그레이 쇼콜라 800 3단 서랍장, 메이플 그레이",58800,37879735,False,0,4.0,23.0,False,,착불배송,11.0,NULL,NULL,NULL,모던/심플,NULL,NULL
