,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,형태,인테리어,재질,접이 가능여부
70,97,503219,"제이케이몰 인체공학 높낮이 각도조절 침대책상 베드트레이 A6L, 상세페이지 참조",31000,4385958265,False,0,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL
71,98,503219,"[HICKIES] HICKIES 베드트레이 냉각 쿨링팬 테이블, 그레이",25100,171958355,False,4,4.5,27.0,False,,"3,000",2.0,NULL,NULL,NULL,로맨틱,NULL,NULL
72,101,503219,오에이데스크 원목 테이블 600,16440,51410103,True,44,3.0,36.0,False,,0,15.0,60 x 40 x 30 cm,브라운,직사각형,NULL,원목,NULL
73,102,503219,"서우홈 폴딩테이블 소, 네츄럴",15150,239269943,True,0,4.0,34.0,False,서우홈,0,8.0,NULL,NULL,NULL,NULL,NULL,NULL
74,103,503219,"침대위 접이식 미니 베드테이블 1인용 탁자, 화이트",11500,4657350701,False,0,3.0,1.0,False,,"3,000",1.0,NULL,NULL,NULL,NULL,NULL,NULL
75,104,503219,"제이씨씨무역 와이드 베드 트레이, 그레이",8330,86160914,True,67,3.5,38.0,False,,0,10.0,68 x 35.8 x 27.5 cm,그레이,직사각형,NULL,PP,NULL
76,105,503219,"미토 데일리 라이프 대나무 쿠션트레이 550 x 350 mm, 혼합 색상",30720,278016475,True,3,3.5,10.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL
77,106,503219,"소푸미야 원목 북스탠드형 접이식 베드 트레이, 내추럴 우드",22360,1329544852,True,3,4.5,23.0,False,,0,23.0,NULL,NULL,NULL,NULL,NULL,NULL
78,107,503219,"트렌디우먼 NEW 접이식 좌식 테이블, 다용도 테이블, 오크",17900,5281331157,False,14,5.0,8.0,False,,0,8.0,NULL,NULL,직사각형,모던/심플,합성목재,접이식가능
79,108,503219,다세코 손잡이형 원목 좌식 테이블,17720,5340933549,True,0,3.5,2.0,False,,0,2.0,63 x 30 x 25 cm,NULL,NULL,NULL,NULL,NULL
80,109,503219,각도 조절 접이식 우드 테이블 M,17800,2176439195,True,0,3.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
81,111,503219,"베드테이블 스마트 컵홀더 접이식 미니테이블 베드트레이 책상 밥상 미니책상 노트북테이블 공구책상, 우드",8900,4342681804,False,0,4.0,26.0,False,,0,26.0,NULL,NULL,NULL,NULL,NULL,NULL
82,112,503219,"레토 멀티 대나무 접이식 베드 트레이 테이블 LMT-T01, 혼합색상",19900,5272925925,True,0,,,False,레토,0,,NULL,NULL,NULL,NULL,NULL,NULL
83,113,503219,"몽돌 태블릿 좌식테이블 60 OT049, 블랙",9600,5002034344,True,0,3.0,1.0,False,밴프,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL
84,114,503219,"21세기트랜드 각도조절 베드 테이블 쿨링팬 대, 메이플",38800,1762446696,True,0,4.0,15.0,False,21세기트랜드,0,15.0,NULL,NULL,NULL,NULL,NULL,NULL
85,115,503219,플러스리빙 대나무 노트북 테이블,16640,1708372,True,11,3.5,161.0,False,,0,14.0,50 x 30 x 21 cm,브라운,NULL,NULL,원목,NULL
86,116,503219,"가팡 접이식 노트북 테이블, 브라운",26960,1566245881,True,0,5.0,2.0,False,가팡,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL
87,117,503219,"리빙노크 다용도 원목 접이식 테이블 책상 베드트레이, 블랙",8500,5143370500,False,0,4.5,3.0,False,,"3,000",3.0,60*40*28,NULL,직사각형,키즈/캐릭터,원목,NULL
88,118,503219,"멀티 고급 노트북 테이블 플러스, 블랙",26000,2068801952,True,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
89,119,503219,"우든 접이식 노트북 책상 60 x 40 x 25 cm, 혼합색상",18650,1436457986,False,0,4.0,2.0,False,,"2,800",2.0,NULL,NULL,NULL,NULL,NULL,NULL
90,120,503219,"러브옥스 다용도 접이식 미니테이블 침대위책상, 화이트",13900,5050192057,False,12,3.0,1.0,False,러브옥스,0,1.0,NULL,NULL,NULL,NULL,NULL,접이식가능
91,121,503219,"히키스 접이식 독서대 침대 다용도 베드트레이 테이블 E6 E6S, E6 (기본형)",36000,5513381164,False,0,,,False,,"3,000",,NULL,NULL,NULL,NULL,NULL,NULL
92,122,503219,"접이식책상 노트북 침대 테이블 책상 BTB (상사맨), 내추럴우드 (BTB-004)",6650,5014028512,False,0,,,False,,"2,500",,NULL,NULL,NULL,NULL,NULL,NULL
93,123,503219,"그래비즈 각도조절 높이조절 접이식 테이블 침대 노트북 독서 미니 트레이, 각도조절 테이블",19700,5353620013,False,28,,,False,,"3,000",,NULL,NULL,NULL,NULL,NULL,NULL
94,125,503219,스마트폰 태블릿PC 거치 E0 인체공학 접이식테이블 베드테이블 좌식책상,35000,4683555294,False,0,,,False,,"3,000",,NULL,NULL,NULL,NULL,NULL,NULL
95,126,503219,"접이식 침대책상 침대테이블 트레이 노트북 미니 좌식 컵홀더, 카드슬롯형, 블랙우드",10500,5274982370,False,47,,,False,,0,,NULL,NULL,다각형,모던/심플,합성목재,접이식가능
96,127,503219,"굿싱에코 실용적인디자인 접이식 숙제를 함 숏 책상테이블 침실 기숙사 컴퓨터 홈실 작은테이블 코너, 진주 화이트 카드 슬롯 컵보관걸이",24000,5310648184,False,24,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL
