,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,단,재질,형태
103,108,434960,"미미 도어걸이 신발정리대 슈즈랙, 1개",9900,94159581,False,0,3.5,86.0,False,미미,"2,500",17.0,NULL,NULL,NULL
104,109,434960,"고양이 실내화거치대 거실화거치대 슬리퍼 신발정리, 브라운",10300,245063279,False,0,4.0,1.0,False,,0,2.0,NULL,NULL,NULL
105,110,434960,"[D1-8802784402467] 코텍 벽걸이 신발장 9단 천 신발장 면 신발장 걸이신발장 걸이형 신발장, 랜덤발송",13200,203642760,False,0,4.0,10.0,False,,0,5.0,NULL,NULL,NULL
106,111,434960,"제이에스리빙 아파트 좁은 현관 정리대 미니 신발장 원목 고급형 오픈 조립식 키큰 틈새 선반 슬림 높은 앤틱 인테리어 아파트 슈즈랙 철재 낮은 거치대 정리함 간이 신발 수납장, 1개",13600,1555439204,False,42,4.0,9.0,False,,0,9.0,NULL,NULL,NULL
107,112,434960,"가팡 가볍고 보기좋은 신발장 선반 화이트 M, 1개",32590,1775184575,True,0,3.5,3.0,False,가팡,0,3.0,NULL,NULL,NULL
108,113,434960,"마켓비 LEITER 좁은 선반 350 4단, 화이트",23900,143156538,False,0,4.5,1563.0,False,마켓비,0,45.0,NULL,NULL,NULL
109,114,434960,"엔템 현관신발장 아파트현관 원목 신발장, 3단(50cm)",19900,5393087121,False,0,4.0,1.0,False,,0,1.0,NULL,NULL,NULL
110,115,434960,"[천삼백케이] [스토피아] 간편조립 신발수납장 8단 16족(일반형), 1개",11900,1364200,False,0,4.5,322.0,False,,0,100.0,5단 이상,폴리프로필렌(PP),일자형
111,116,434960,"접이식 원목 신발장 슬림신발장 신발정리대 3 4 5단, 1Ea",22000,1083592145,False,0,4.0,9.0,False,,0,9.0,NULL,NULL,NULL
112,117,434960,"제이와이홀딩스 아파트신발장 원룸 현관 조립식 5단 신발장, 1개",16500,266637347,False,0,4.0,6.0,False,,0,3.0,5단,NULL,일자형
113,118,434960,"[천삼백케이] [스토피아] 간편조립 신발수납장 정리대 6족, 1개",7300,1364195,False,0,4.5,82.0,False,,0,28.0,5단 이상,폴리프로필렌(PP),일자형
114,119,434960,예다움 카디프 원목 선반 신발정리대 4단 800 스탠드선반,36900,153700963,False,0,5.0,24.0,False,예다움,0,22.0,NULL,NULL,NULL
115,120,434960,"원더원 9단 다용도 신발 정리대, 1개",18000,204366675,False,0,4.0,22.0,False,원더원,0,14.0,NULL,NULL,NULL
116,121,434960,"아이홈 더블 6단 신발정리대, 1개",11150,48683567,True,38,4.5,61.0,False,,0,19.0,6단,폴리프로필렌(PP),일자형
117,122,434960,"신발 정리대 정리함 실내화 거치대 6켤레 수납, 화이트",15500,4790662881,True,0,4.0,8.0,False,,0,8.0,NULL,NULL,NULL
118,125,434960,"오리엔탈무드 드레스룸에 어울리는 신발장 DIY, 1개",14400,2088029553,True,0,4.5,3.0,False,,0,3.0,NULL,NULL,NULL
119,126,434960,"거실 실내화 슬리퍼걸이 3단, 검정, 1개",8900,29543402,False,55,4.5,14.0,False,,0,5.0,NULL,NULL,NULL
120,127,434960,"모노플랫 실내화 슬리퍼 정리 거치대, 1개",24900,336375847,True,0,4.5,7.0,False,모노플랫,0,6.0,NULL,NULL,NULL
121,129,434960,"아이홈 지그재그 신발정리대 11단, 1개",14400,48683572,False,3,4.5,155.0,False,,0,61.0,11단,폴리프로필렌(PP),지그재그형
122,130,434960,"인터바겐 다기능 슈즈렉 신발렉 신발 정리 걸이 걸이대 거치대, 1개",9900,2082088569,False,0,4.5,4.0,False,,0,4.0,NULL,NULL,NULL
123,131,434960,"엠지 종이현관 신발정리함 크라프트, 4개",7500,337016802,True,9,4.5,36.0,False,,0,26.0,NULL,NULL,NULL
124,132,434960,"7단 신발정리대 화이트 800, 1개",17900,793554,True,0,4.5,470.0,False,,0,16.0,7단,스테인리스,일자형
125,133,434960,"신발장정리대 선반 슬리퍼거치대 현관신발정리대, 블루",8800,5492721743,False,0,4.0,1.0,False,,0,1.0,NULL,NULL,NULL
126,134,434960,"룸트 지그재그 신발정리대 9단 차콜그레이, 1개",15900,1680304312,False,0,4.5,10.0,False,,0,10.0,NULL,NULL,NULL
127,135,434960,"리빙해피 센스 6단 신발정리대 그레이, 1개",16070,22024177,True,23,4.5,44.0,False,리빙해피,0,6.0,6단,ABS,일자형
128,136,434960,"네이쳐리빙 스틸 접이식 실내화걸이(4단), 화이트",8900,104782566,False,10,4.5,324.0,False,네이쳐리빙,0,36.0,NULL,NULL,NULL
129,137,434960,"리빙그레이 강력 접착 붙이는 실내화 걸이 욕실화 거치대 슈즈랙, 1개",1900,213171345,False,72,4.5,53.0,False,리빙그레이,0,8.0,1개,스테인리스,일자형
130,138,434960,"다니즈 와이드 신발보관함 화이트, 5개",41800,5002032017,True,0,5.0,1.0,False,,0,1.0,NULL,폴리프로필렌(PP),NULL
131,139,434960,"슈마니아 하이탑 프리미엄 신발정리함 사이드 블랙, 6개",69900,310754426,True,20,4.0,16.0,False,,0,12.0,NULL,NULL,NULL
132,140,434960,"깔끔한 신발정리 사이즈별 부츠 보관 가방, 블랙",3700,4389848521,False,0,4.5,13.0,False,,"2,500",13.0,NULL,NULL,NULL
133,141,434960,아카시아 우드 슬리퍼꽂이 실내화걸이 정리대 거치대,16200,343961492,False,0,5.0,4.0,False,아카시아,0,4.0,NULL,NULL,NULL
134,142,434960,"새드리 미룸 신발정리대 5단 L2731BG, 1개",30100,127205094,True,38,4.0,11.0,False,,0,8.0,NULL,NULL,NULL
135,143,434960,"가팡 가볍고 보기좋은 신발장 선반 화이트 K, 1개",21920,1792730015,True,0,2.0,3.0,False,가팡,0,3.0,NULL,NULL,NULL
136,144,434960,"새드리 미룸 신발정리대 3단 L2729BG, 1개",20200,122763004,True,41,4.0,20.0,False,,0,8.0,NULL,NULL,NULL
137,145,434960,"이케아 그레이그 신발장 블랙 58x27x17cm, 이미지참조",8690,243039908,False,20,4.5,4.0,False,이케아,0,3.0,NULL,NULL,NULL
138,146,434960,"영인정공 와이드 다용도 신발수납장, 블랙",12550,2575205,True,18,4.5,206.0,False,스토피아,0,12.0,NULL,플라스틱,NULL
139,147,434960,"[투썬빌리지] [10P] 공간활용템 파스텔 신발정리대 4color, 1세트",14900,2087690090,False,50,4.0,17.0,False,,0,17.0,NULL,NULL,NULL
140,148,434960,"슈마니아 하이탑 프리미엄 신발정리함 프런트 블랙, 1개",15900,310754435,True,0,4.5,3.0,False,,0,2.0,NULL,NULL,NULL
141,149,434960,"부자오빠 별도 조립이 필요없는 원터치 신발정리대, 1개",15900,1508387466,False,0,4.0,9.0,False,부자오빠,0,9.0,3단,원목/우드,일자형
142,150,434960,"신발정리대 다용도선반 부직포신발장, 1개",6800,203571308,False,0,4.5,37.0,False,,0,16.0,3단,부직포,일자형
143,151,434960,"제이에스리빙 아파트 좁은 현관 정리대 미니 신발장 원목 고급형 오픈 조립식 키큰 틈새 선반 슬림 높은 앤틱 인테리어 아파트 슈즈렉 폴딩 철재 낮은 거치대 정리함 간이 벤치형 신발장, 게로 벤치 신발장",29900,4529907688,False,28,3.0,3.0,False,,0,3.0,NULL,NULL,NULL
144,152,434960,"트레벨 5단 800 화이트 신발정리대, 1개",14500,3548402,True,0,4.5,247.0,False,트레벨,0,21.0,5단,스테인리스,일자형
145,153,434960,"다니즈 와이드 신발보관함 블랙, 5개",37000,5002032088,True,1,4.5,3.0,False,,0,3.0,NULL,폴리프로필렌(PP),NULL
146,154,434960,"디홀릭 커버형 6단 부직포 신발장 그레이, 1개",20260,66522702,True,18,4.0,158.0,False,디홀릭,0,12.0,NULL,NULL,NULL
147,155,434960,"봄햇살 캐릭터 슈즈랙 신발정리대 보관함 판다곰, 1개",14700,1534231332,False,45,4.5,14.0,False,,0,12.0,NULL,NULL,NULL
148,156,434960,"프라임 슈즈렉 6단 싱글, 1개",14900,2269340338,False,0,4.5,16.0,False,,0,8.0,NULL,NULL,NULL
149,157,434960,"올댓세일 좁은 현관 신발정리대 신발거치대, 1개",3500,162369115,False,0,4.5,529.0,False,,0,72.0,1개,플라스틱,조립형
150,158,434960,"MAME 신발거치대 4단 JT1926, 1개",4690,4697104994,True,0,4.5,3.0,False,,0,3.0,NULL,NULL,NULL
151,159,434960,"하늬통상 현관 미니 아기 신발 정리대, 블루곰",6960,96421962,True,27,4.5,146.0,False,하늬통상,0,46.0,NULL,NULL,일자형
152,160,434960,"리빙톡 생활용품 조립식 신발 수납 정리 공간박스 신발정리대 신발정리함, 6개입",11400,297709404,False,5,4.0,62.0,False,,0,42.0,NULL,플라스틱,수납박스
153,161,434960,"DSM 매직접착 슬리퍼걸이 욕실화 실내화 꽂이, 2개",6900,1690201263,False,4,4.5,51.0,False,,0,14.0,NULL,NULL,NULL
154,162,434960,"[바보사랑]디몬 선반 실내화 걸이 (4) - 4color, 1개",38600,219889528,False,0,5.0,9.0,False,바보사랑,0,8.0,NULL,NULL,NULL
