,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어,행거 종류,행거 타입,거울
638,758,184600,"신촌가구 튼튼한 45mm 2단 국내산 행거 옷걸이 고정식 높낮이 옷걸이 고급행거, 화이트",54900,245258419,False,0,4.5,2.0,False,신촌가구,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
639,759,184600,"제이씨무역 카푸치노 원목 5단 선반 행거 1100, 우드",79000,1343070545,True,8,3.0,7.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
640,760,184600,"왕자 더블기둥3단조절선반_원터치_529-4, 없음",52920,1187193160,False,6,4.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
641,761,184600,"세탁실 베란다 수납장 다이 드럼 세탁기 건조기 위 선반 렉 앵글 거치대, 화이트 프레이+라이트월넛(2층)",72000,1981269752,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
642,762,184600,"루미 2단 싱글행거 스탠드 행거 옷걸이, 루미2단싱글행거_화이트",17900,318326484,False,0,4.0,9.0,False,루미,0,6.0,NULL,화이트,철제,NULL,NULL,NULL,NULL
643,763,184600,"[왕자행거] 왕자 네오스페이스(어바웃드레스룸4P-밀폐), 색상:1.크림화이트-754(PW)",146300,113855146,False,0,4.0,26.0,False,왕자행거,0,10.0,NULL,NULL,NULL,모던/심플,설치형,NULL,NULL
644,764,184600,"에보니아 707 3단 메탈행거, 화이트",20740,1925618388,True,3,4.0,16.0,False,에보니아,0,16.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
645,765,184600,"신화리빙 사다리형행거 행거, 사다리형행거 소형",40000,38744473,False,0,4.5,178.0,False,신화리빙,0,22.0,600,화이트,철제,NULL,NULL,NULL,NULL
646,766,184600,"코코디피 기성행거 모음 튼튼한 옷가게용 옷걸이 행거 옷거리 헹거 국산 용접형, 14벽행거수도관형_19파이*100cm 브론즈붓칠",30900,55939381,False,0,4.5,8.0,False,,"10,000",,별도표기,별도표기,철제,NULL,NULL,NULL,거울 없음
647,767,184600,"가화행거 2단옷걸이행거(LB2200) 행거, LB2200",19600,174680500,False,38,4.5,6.0,False,,0,3.0,NULL,아이보리,철제,NULL,NULL,NULL,NULL
648,769,184600,"하우스데이 원터치 우드선반 2단행거, 블랙",68260,214020358,True,8,4.5,6.0,False,,0,6.0,NULL,NULL,NULL,NULL,설치형,NULL,NULL
649,770,184600,제이와이 무빙 2단 이동식행거 스탠드옷걸이,37800,1586271018,False,11,5.0,2.0,False,,0,2.0,160*80*51cm,화이트,철제,모던/심플,NULL,NULL,NULL
650,771,184600,"베라스 키높이 600형 행거, 프렌치블루",39520,18582415,True,0,4.0,41.0,False,,0,14.0,NULL,블루,MDF,NULL,NULL,NULL,거울 없음
651,772,184600,"왕자행거 원터치2단고정행거_689, 없음",19500,1187148884,False,0,5.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,설치형,NULL,NULL
652,773,184600,"[왕자행거] 왕자 뉴프리미엄우드4단커튼행거_544-1, 상세 설명 참조",77800,1473571628,False,3,4.0,4.0,False,왕자행거,0,4.0,NULL,NULL,NULL,NULL,설치형,NULL,NULL
653,774,184600,"조은세상 철제 스탠드 옷걸이, 블랙",16810,1629707298,True,0,4.0,11.0,False,조은세상,0,11.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
654,775,184600,"뷱유럽 골드 옷가게행거 매장용 파이프행거 옷가게인테리어, 소",79000,5279235685,False,47,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
655,776,184600,"왕자 와이드이동식행거, 없음",24800,5286343253,False,4,,,False,,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL
656,777,184600,"루민 프리미엄 4단 행거, 화이트",36470,167220609,True,0,4.0,98.0,False,텐바이텐,0,22.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
657,778,184600,"이지온 국민튼튼 코너 커튼 행거 EOB-S515C 옷걸이 드레스룸 옷 수납 조립식 파이프 고정식 시스템 커튼형 행거, 블랙, A타입",173200,4841041255,False,0,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
658,779,184600,"100SU 라운트리 스탠드 옷걸이, 혼합색상",25810,4777035143,True,1,5.0,4.0,False,,0,4.0,NULL,NULL,원목/우드,NULL,NULL,NULL,NULL
659,780,184600,"하우스데이 나사방식 폭조절 김치냉장고 선반 2단, 실버",48240,3618575,False,10,4.0,34.0,False,,0,,2단,NULL,스틸파이프,모던/심플,NULL,NULL,NULL
