,from selenium import webdriver ,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,소재,스툴,사용인원,설치,인테리어
84,,108.0,184623.0,"자네트 빠울라 3인용소파 스툴포함, 화이트",199000.0,5319306382.0,False,65.0,5.0,7.0,False,자네트,착불배송,7.0,NULL,NULL,NULL,NULL,스툴 있음,NULL,NULL,모던/심플
85,,109.0,184623.0,"무인양품 푹신 소파 본체 (커버 별매) 4934761049182, 화이트",109000.0,2155609236.0,True,26.0,5.0,7.0,False,무인양품,0,7.0,NULL,화이트,패브릭,NULL,NULL,NULL,즉시설치,NULL
86,,110.0,184623.0,"moriskorea 1+1=2 가죽 쇼파 리폼 소파리폼 가죽보수 가죽패치 인테리어 시트지, 2 진밤 DARK BROWN",12500.0,340794725.0,False,0.0,4.0,87.0,False,,0,72.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
87,,111.0,184623.0,"자네트 쟈드 3인용 가죽쇼파 스툴포함, 화이트",229000.0,1356399779.0,False,50.0,4.5,272.0,False,자네트,착불배송,95.0,NULL,NULL,인조가죽,NULL,스툴 있음,3인용,NULL,모던/심플
88,,112.0,184623.0,"아워스토리 심플스타일 대기의자 장의자, 3인용(수납형)-아이보리",96800.0,210226665.0,False,0.0,4.5,37.0,False,,"13,000",30.0,NULL,NULL,NULL,인조/천연가죽,NULL,3인용,NULL,모던/심플
89,,114.0,184623.0,"리브맘 달콤 빈백 리필용 충전재 50L, 단품",19800.0,1232274954.0,False,0.0,4.0,12.0,False,리브맘,0,7.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
90,,116.0,184623.0,"밸런스가구 도노 3인용 좌식소파, 카푸치노",179000.0,15982716.0,False,0.0,4.0,97.0,False,밸런스가구,착불배송,18.0,1860 x 750 x 680mm,브라운,인조가죽,NULL,NULL,3인용,NULL,NULL
91,,117.0,184623.0,"마켓비 AMBO 1인용 멀티 소파, 그레이",121890.0,1195467266.0,False,4.0,4.0,35.0,False,마켓비,0,21.0,NULL,NULL,NULL,인조/천연가죽,NULL,NULL,NULL,모던/심플
92,,118.0,184623.0,"동서가구 소프트 패브릭 소파베드&쿠션2개 증정 DFF38183, 그레이",105000.0,208020152.0,False,33.0,4.0,16.0,False,동서가구,착불배송,13.0,NULL,NULL,NULL,패브릭,NULL,NULL,NULL,모던/심플
93,,119.0,184623.0,"이지체어 데이앤나잇 1~2인용 각도조절 쇼파베드 소파베드 좌식소파 좌식의자, S12_카키그레이(FD)",99840.0,281354834.0,False,5.0,4.5,24.0,False,이지체어,0,20.0,NULL,NULL,NULL,패브릭,NULL,2인용,NULL,모던/심플
