,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,형태,바퀴
624,838,184625,"대리석문양 화이트 고급 네일테이블 시술대 네일아트책상, 80cm 대리석무늬 테이블 단상",106400,4399719905,False,44,,,False,,0,,NULL,NULL,NULL,NULL,NULL
625,839,184625,"라탄 거실 테이블 좌식, 소형(60X45X30)",44400,1493517226,False,0,5.0,1.0,False,,"10,000",1.0,NULL,NULL,NULL,NULL,NULL
626,840,184625,"해찬솔원목이야기 해찬솔 소나무 통원목 에코 원목좌탁 1600 좌식테이블 거실테이블 원목테이블 소파테이블 좌탁/티테이블, 도토리색",355300,157560546,False,0,5.0,8.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL
627,841,184625,"마루엔개비 자연림 다용도 긴 테이블 130사이즈 원목좌탁, 단품",313020,6650871,False,10,5.0,10.0,False,,0,3.0,NULL,브라운,원목,직사각형,NULL
628,843,184625,"[잉글랜더xCJ단독] 레스트 LPM 리프트 테이블, 오크",72870,1766884157,False,3,3.0,1.0,False,,0,1.0,NULL,NULL,NULL,NULL,NULL
629,844,184625,"간이침대 캐비닛 대여 전용 서랍장 우드박스 잠금장치 소형 베드캐비닛 가볍게 북유럽풍Z, 조립 하 다., 더 블 사이즈 2 서랍 끈 지퍼 흰색",33200,5321583072,False,0,,,False,다소미얼,0,,NULL,NULL,NULL,NULL,NULL
630,845,184625,라탄 우드 매거진랙 잡지꽂이 협탁,68000,5296027959,False,32,5.0,2.0,False,,0,2.0,NULL,NULL,NULL,NULL,NULL
631,846,184625,"침대협탁 침대 옆 미니 원목 대리석 협탁 선반 옆 테이블 심플 모던 미니 작은, 어셈블리, 기본 웜 화이트",48300,4661552622,False,16,,,False,,0,,NULL,NULL,NULL,NULL,NULL
632,847,184625,"로얄다이아 접이식테이블 다용도테이블 밥상 식탁 캠핑테이블 접이식식탁 사각테이블 타원테이블 접이식의자, 의자, 우드",9900,5537777007,False,0,,,False,,0,,NULL,NULL,NULL,NULL,NULL
633,849,184625,"오름 루베 협탁 겸 테이블, 화이트 + 블루",45900,1546355744,True,8,3.5,19.0,False,Athome,0,19.0,NULL,NULL,NULL,NULL,NULL
634,850,184625,"3탄 103탄 스탠딩 높이조절 게이밍 컴퓨터 이동식 사이드 테이블 간이 슬림 보조 책상, 화이트",29800,4541278465,False,0,4.5,19.0,False,,0,19.0,NULL,NULL,NULL,NULL,NULL
635,851,184625,"원목 발코니 베란다 부부 2인용 티 테이블 의자 세트, 녹색 테이블1개 의자 2개",196900,2132930985,False,1,5.0,4.0,False,,"20,000",4.0,NULL,NULL,NULL,NULL,NULL
636,852,184625,"아무거나안팜 거실협탁, 선글라스 블랙 73cm",96150,1938093164,False,0,4.5,13.0,False,,0,13.0,73cm,블랙,PVC,NULL,바퀴없음
637,853,184625,"오에이데스크 이동식 사이드 테이블 대 태블릿형 OT220, 블랙",29120,4884271683,True,1,2.5,3.0,False,,0,3.0,NULL,NULL,NULL,NULL,NULL
638,854,184625,"오에이데스크 심플 좌식 테이블 OT207, 우드",4630,88890859,True,68,3.5,30.0,False,,0,16.0,NULL,NULL,NULL,NULL,NULL
639,855,184625,"LPM 높이조절 접이식 테이블 600 x 600 mm, 화이트",18090,2311884121,True,1,4.5,6.0,False,,0,6.0,NULL,NULL,NULL,NULL,NULL
640,856,184625,"이동식 사이드 침대 소파 틈새 식탁 높낮이조절 간이 바퀴달린 보조 테이블 책상, 5. 멀티테이블(높이조절) 대 - 브라운",28800,4813997477,False,0,4.0,4.0,False,,0,4.0,NULL,NULL,NULL,NULL,NULL
641,857,184625,앤트 골드 와이어 협탁 티테이블 3size,30000,2244982537,False,0,5.0,2.0,False,앤트,0,2.0,NULL,NULL,NULL,NULL,NULL
642,858,184625,"까사마루 우든 롤테이블 대형 1200, 상세설명참조",73500,2336489529,False,6,4.5,2.0,False,까사마루,0,2.0,NULL,NULL,NULL,NULL,NULL
643,859,184625,땅콩 원목 리프트업 거실 소파 테이블 1200,336000,5010921860,False,52,5.0,6.0,False,,착불배송,6.0,NULL,NULL,NULL,NULL,NULL
644,860,184625,"스틸리 다용도 베드트레이 G6, 다용도 베드테이블 G6",42500,1895308813,False,0,5.0,14.0,False,스틸리,0,14.0,NULL,NULL,NULL,직사각형,NULL
