,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,색상,재질,인테리어
385,557,184670,"카미코코 1200 1단 2단 3단 우드파티션 칸막이 가리개, 1200 워시 3단 (420)",59900,1173062288,False,0,4.5,5.0,False,,착불배송,2.0,NULL,NULL,NULL
386,558,184670,"공간 분리 책상 가림막 스크린 파티션 칸막이 학교 어린이집 유치원 사무실 식당 학원, 11 그린40*30cm",16500,5402812653,False,54,,,False,,0,,NULL,NULL,NULL
387,559,184670,"썬라인 A형 홀겹무지 홀딩도어 자바라 중문 주름문 접이문 파티션, A형-홀겹 블랙무지",1270,332883312,False,0,5.0,2.0,False,,0,1.0,NULL,NULL,NULL
388,560,184670,"1인용 비말차단 투명 칸막이 방역가림막 식당 상담실비말차단 가람판 가림막 아크릴 판 공공시설 독서실 학교 유치원 대학교 문구 차단막 대형 소형, 01창구형3T",17390,2355834749,False,9,,,False,,"5,000",,NULL,NULL,NULL
389,561,184670,"아크릴칸막이 받침대 연결대 가림막 부속품 가림판 지지대 음식점 사무실파티션 카페 수능책상 고정형, 기역자연결대(6개묶음)",9000,5480962205,False,40,,,False,,"5,000",,NULL,NULL,NULL
390,562,184670,"가팡 인테리어 파티션 원목, 42번",264670,2160184174,False,0,4.5,3.0,False,가팡,0,3.0,NULL,NULL,NULL
391,563,184670,"동양파티션 원목파티션 홀용 8각5칸 사군자5칸 무제5칸 파티션 월넛(모델명: NH5 - AW NH5-BW NH5-CW ), 홀용사군자5칸 월넛 (NH5-BW)",137000,4816058550,False,0,,,False,,"13,000",,레드,아트지,NULL
392,564,184670,"베스트리빙 파인 4단 파티션, 블랙",117640,69694842,True,6,4.5,18.0,False,베스트리빙,0,1.0,NULL,NULL,NULL
393,567,184670,"DAIT 병풍 파티션 가림막 칸막이 분리 가정용 카페 사무실, 높이150CM길이200CM4단파티션옵션7",93100,5158565832,False,0,,,False,,"6,000",,NULL,NULL,NULL
394,568,184670,"마루칸 광폭 파티션, MK 1400 2단",49500,69596486,False,0,3.0,5.0,False,마루칸,"6,000",,NULL,필림랩핑,NULL
395,569,184670,"사무실 파티션부속품 삼각바, (45T/PVC)H1200",16000,257756855,False,0,,,False,,0,,NULL,NULL,NULL
396,570,184670,"[엘린까사] 하이 철재/철제 파티션 2color (600X1800), 타공_블랙",75000,2019764352,False,44,4.0,1.0,False,엘린까사,착불배송,1.0,NULL,NULL,NULL
397,571,184670,생활의지혜 가림막칸막이 폭 120 x 높이 cm 606-402 인테리어파티션. 비규격생산가능,110000,171124653,False,0,,,False,,착불배송,,NULL,인테리어파티션,
398,574,184670,"베스트리빙 디바이더 3단 파티션, 블랙",94830,69694813,True,0,3.0,3.0,False,베스트리빙,0,1.0,NULL,NULL,NULL
399,576,184670,"디귿자형 깨지지않는 가림막 접이식 칸막이 다용도 가림판, 단품",58290,4897415873,False,0,,,False,,"3,000",,NULL,NULL,NULL
400,577,184670,리빙원디자인 패널 원목 파티션 화이트 브라운 칸막이,80500,263256753,False,9,5.0,2.0,False,리빙원디자인,"7,000",2.0,NULL,NULL,NULL
401,579,184670,"[삼익가구]루이 인테리어 가벽 철제 파티션(좁은간격가로폭 438), 오크",109900,5197137074,False,66,5.0,1.0,False,삼익가구,착불배송,1.0,NULL,NULL,NULL
402,580,184670,"예드림 남원전통공예 6폭병풍 추사김정희- 사군자, 상세 설명 참조",118440,132068766,False,0,,,False,,0,,NULL,NULL,NULL
403,581,184670,"블라인드할인몰 투명 펄반투명 홀딩도어 8칼라, 07. 블루 투명+부속 화이트",600,99634996,False,25,5.0,11.0,False,,0,3.0,NULL,NULL,NULL
404,582,184670,"[리비니아] 다용도 매직파티션 중형, 화이트",57900,4500447064,False,0,,,False,리비니아,0,,NULL,NULL,NULL
405,583,184670,"[한샘x우드레이] 가벽 인테리어 가림막 파티션 415mm, 블랙",140930,2161139422,False,3,,,False,한샘,"10,000",,NULL,NULL,NULL
406,585,184670,"마루칸 피오래 파티션, 피오래1200(한칸당가격)",22000,1879710669,False,0,,,False,마루칸,"10,000",,NULL,NULL,NULL
407,586,184670,"래열_고정가능 비말차단 투명가림막 아크릴칸막이 4인용 회의칸막이 투명파티션 아크릴칸막이 투명가림판 가림판-qe지을, 본상품선택",72760,5224594878,False,20,,,False,,0,,NULL,NULL,NULL
408,588,184670,향림공예 6폭 미니 반야 사군자 병풍 제사용 양면,120000,5032384557,False,7,,,False,,0,,NULL,NULL,NULL
409,589,184670,"남원공방 제사용 6폭 병풍 반야 묵화 CP, 단품, 단품",109000,3637672,True,0,3.5,3.0,False,,0,2.0,옐로우,비단(실크),NULL
410,590,184670,"카미코코 1200 1단 2단 3단 우드파티션 칸막이 가리개, 1200 워시 2단 (620)",47900,1173062329,False,0,5.0,1.0,False,,착불배송,,NULL,NULL,NULL
411,591,184670,투명방탄아크릴 PC 칸막이 가림막 식당 병원 학교 파티션 500 x 500,22000,5419086491,False,0,,,False,,0,,NULL,NULL,NULL
412,592,184670,"나인티원 셀프 가벽 파티션 주방 거실 카페 원룸 칸막이 만들기, A25",19900,1363428232,False,0,5.0,1.0,False,,"30,000",1.0,NULL,NULL,NULL
413,593,184670,아크릴 가림막 식당 학교 관공서 칸막이 480x400 3T,14850,5189999887,False,0,,,False,,"4,000",,NULL,NULL,NULL
414,594,184670,"아이캐슬 오리엔탈 대청원목 4단 파티션 칸막이, 내츄럴",99000,110575737,False,0,5.0,1.0,False,아이캐슬,0,1.0,NULL,NULL,NULL
415,595,184670,"해피데이 우드 소나무 파티션, 커피",98900,1910248,False,0,4.0,17.0,False,해피데이,착불배송,,베이지,원목,NULL
416,597,184670,"[특가행사] 포플러 노란가지 3단 (1600) 파티션 까페 칸막이, 소프트그레이",99000,4982103993,False,0,,,False,,"10,000",,NULL,NULL,NULL
417,598,184670,"BIANCO ITALIA 라탄 인테리어 가벽 원목 칸막이 민무늬 파티션, 혼합색상",236000,5296028067,False,56,,,False,,0,,NULL,NULL,NULL
418,599,184670,"식당 비말차단 칸막이 투명 상담실 방역가림막 1인용, 일반형3T",16320,5237262669,False,20,,,False,,0,,NULL,NULL,NULL
