,rank,category,name,price,product_id,isRocket,discount_percentage,rating,rating_total_count,is_out_of_stock,brand_name,shopping_fee,reviews_for_last1year,사이즈,색상,재질,인테리어
213,286,184613,"파란들 라디 3단 서랍장, 오크화이트",34000,21483935,False,62,4.0,23.0,False,파란들,착불배송,9.0,600 x 400 x 510mm,화이트,합성목재,NULL
214,287,184613,"가구데코 모네 400 3단 서랍장 FO0913, 메이플화이트",67000,252932725,False,38,4.0,8.0,False,가구데코,0,5.0,NULL,NULL,NULL,NULL
215,288,184613,"몬스빌리지 지그재그 2단 와이드 화장대 미니 원룸 안방 옷 슬림 낮은 서랍장 1000 2컬러, 화이트",76500,4560240333,False,4,5.0,1.0,False,,착불배송,1.0,NULL,NULL,NULL,모던/심플
216,292,184613,"방친구 루다 5단 틈새 서랍장, 01_루다 300 5단 서랍장is",48800,37444572,False,0,4.0,43.0,False,방친구,착불배송,18.0,NULL,NULL,NULL,모던/심플
217,293,184613,"파란들 디센트 800 3단서랍장 협탁 수납 수납장 서랍장, 화이트",78500,24719067,False,53,4.0,71.0,False,파란들,착불배송,17.0,800x400x765mm,화이트,합성목재,NULL
218,294,184613,"동서가구 스토르 속 깊은 광폭 800 4단서랍장 DF641120, 그레이원",109000,1274680652,False,35,4.0,14.0,False,동서가구,착불배송,11.0,NULL,NULL,NULL,NULL
219,295,184613,"동서가구 네오 엘리스 1000 와이드 3단 서랍장 NEO300, 그레이",184400,1981641078,False,29,5.0,1.0,False,동서가구,착불배송,1.0,NULL,NULL,NULL,NULL
220,296,184613,"마켓비 OFFICY 서랍장 6단 2403.1338, 다크그레이",43900,4796005138,True,2,4.0,1.0,False,마켓비,0,1.0,NULL,NULL,NULL,NULL
221,297,184613,"[지베스] 데니스 1200 3단 와이드서랍장(양문형), 딥블루",134900,2076427702,False,50,4.5,4.0,False,,착불배송,4.0,NULL,NULL,NULL,NULL
222,298,184613,"보노하우스 키즈플러스 상판 5단 서랍장, 화이트오크",64520,1418891997,True,2,4.0,10.0,False,보노하우스,0,10.0,NULL,NULL,NULL,NULL
